diagonal.n.04 mathematicalconcept
antiprotozoal.n.01 medication
serious.a.01 seriousconcern
conclusive.a.01 resolution
somersault.v.01 bodymovement
santa_lucia_fir.n.01 plantspecies
shoji.n.01 architecturalelement
delairea.n.01 plantspecies
golden_saxifrage.n.01 plantspecies
congestion.n.02 crowdphenomenon
robber_fly.n.01 insect
bromine.n.01 chemicalelement
cestoda.n.01 parasite
asama.n.01 geographicalfeature:volcano
chassis.n.03 vehiclecomponent
buy_off.v.01 bribery
generator.n.03 creator
burgundy.n.02 wine
tulip_orchid.n.01 plant
wit.n.01 humor
redcap.n.01 britishmilitarypolice
contraceptive.n.01 medicaldevice
excuse.n.01 justification
admiration.n.01 emotion
goethe.n.01 germanauthor
dusty_miller.n.02 plant
squawk_box.n.01 audiooutputdevice
nest.v.02 containment
winnow.v.01 materialseparationprocess
cheer.v.01 encouragementaction
spirochete.n.01 prokaryote
magnetomotive_force_unit.n.01 magnetomotiveforcemeasurement
irritation.n.03 medicalcondition
bulawayo.n.01 city
questioning.n.01 informationrequest
italian.n.02 language
arab.n.01 ethnicity
tribune.n.01 romanofficial
thallium.n.01 chemicalelement
lexington.n.02 city
pineal_gland.n.01 endocrinegland
school.v.01 educationalactivity
argy-bargy.n.01 disagreement
picture.v.02 visualizationaction
bodkin.n.04 sewingtool
tree.n.01 flora
spinner.n.03 fishinglure
wild_hyacinth.n.01 plantspecies
fascist.n.01 politicalideology
cape_verde_islands.n.01 islandgroup
musophagidae.n.01 birdfamily
temptation.n.01 attractiveness
brotherhood.n.02 occupationalgroup
acyclovir.n.01 medication
methocarbamol.n.01 medication
entry.n.03 transactionrecord
honor.n.04 moralvalue
dispensable.a.01 characteristic
councillorship.n.01 politicaloffice
medinilla.n.01 plant
tupaiidae.n.01 mammal
haemodorum.n.01 plantfamily
hit.v.05 suddenimpact
shudder.v.02 physicalresponse
pestle.v.01 pulverizingaction
preclude.v.02 constraint
wood_rabbit.n.01 mammal
correlate.v.01 relationshipindicator
banish.v.01 socialaction
smack.n.05 affectionategesture
friend.n.01 closeacquaintance
canadian.n.01 person
bowhead.n.01 marinemammal
equality.n.02 abstractstate
cheek.v.01 insult
site.n.02 location
giant_sequoia.n.01 tree
act.v.10 stageperformance
gimel.n.01 hebrewletter
oyster_plant.n.03 botanicalplant
census.v.01 populationcountaction
tineoidea.n.01 insect
pass_over.v.04 transportationaction
bandwagon_effect.n.01 socialtrend
commando.n.01 militarypersonnel
mandevilla.n.01 plantgenus
inefficacious.a.01 lackingefficacy
supporting_structure.n.01 architecturalcomponent
ozawa.n.01 musician
betrothal.n.01 marriageagreement
pilot.n.01 aircraftoperator
federal_judiciary.n.01 usgovernmentinstitution
sieve.v.02 qualitycontrolaction
sao_tome.n.01 capitalcity
mercantile_establishment.n.01 retailstore
kidnapping.n.01 criminalact
dehydration.n.03 physicalprocess
prescription_drug.n.01 medication
limitation.n.04 statutorytimelimit
nilo-saharan.n.01 languagefamily
pepper_spray.n.01 selfdefensetool
saussurea.n.01 plantgenus
fortune_hunter.n.01 spouseseekingindividual
anchor.n.02 supportstructure
lichanura.n.01 animalspecies
long_suit.n.01 playingcardsuit
curry.n.01 dish
thicken.v.02 physicalcharacteristicchange
stream.v.05 bodilyflow
rule.n.03 guideline
uredinales.n.01 fungi
emasculation.n.01 socialconcept
cellist.n.01 musician
turn_down.v.05 modification
separate.v.09 dettachmentaction
hussein.n.01 politician

